date_jst,campaign_day,platform,format,caption,visual_prompt,video_script,cta,spoiler_level,status
2026-06-08,Day -3,TikTok/Reels,short_video,"【虛構互動故事】如果一封『故事裡的』情書，最後一行預告了主角朋友的失蹤——你還敢讀完嗎？#雨夜偵探社 #互動小說 6/11 開演","封面：雨夜信箱特寫，一封濕了一角的白色信封，霓虹反光","0-2秒：雨聲＋信箱開啟特寫／3-6秒：手抽出無署名信封，雨滴打在信紙上／7-12秒：鏡頭慢慢下移到最後一行，文字打碼、只露出墨痕／13-15秒：黑畫面字卡「6/11（四）晚上，第一封信送達。」雨聲驟停","追蹤帳號＋開啟通知，6/11 一起拆信",none,draft
2026-06-08,Day -3,Instagram Story,story_poll,"【限動投票】深夜，信箱裡出現一封沒有署名的情書。你會？ A：立刻拆開來讀　B：先拍照存證再說","限動底圖：深夜公寓信箱，一封信露出一半，藍紫色雨夜色調","","投完票滑下一則看預告",none,draft
2026-06-08,Day -3,X/Threads,text_post,"一座雨下不停的港灣城市。一間只在雨夜亮燈的偵探社。一封不該存在的匿名情書。《雨夜偵探社：第七封情書》互動連載，6/11（四）起，連續七夜，免費遊玩。你的每一個選擇，都會改變結局。","","","按讚轉發，蹲一個開演提醒",none,draft
2026-06-08,Day -3,小紅書,image_post,"梅雨季限定的懸疑戀愛互動故事要來了｜7天連載｜免費｜你的選擇決定結局｜先收藏，6/11 開拆第一封信","主視覺：日系雨夜商店街，二樓亮著一盞暖黃燈的偵探社窗戶，街上一人撐透明傘回頭，電影感構圖，標題字「第七封情書」","","收藏＋關注，開演不迷路",none,draft
2026-06-09,Day -2,TikTok/Reels,short_video,"這間偵探社的招牌，只在下雨的夜裡亮燈。而你的搭檔，今晚由你決定。#雨夜偵探社","封面：偵探社磨砂玻璃門，門上剪影一人轉筆","0-3秒：商店街雨景，鏡頭上搖到二樓亮燈招牌／4-8秒：門內剪影旁白（男聲）「匿名情書？浪漫是浪漫——」／9-12秒：同句切換（女聲）「——但預告別人失蹤，這就叫犯罪預告了吧。」／13-15秒：字卡「蓮，還是澪？Day1 由你選擇你的偵探。」","留言告訴我們：你選蓮還是澪？",none,draft
2026-06-09,Day -2,Instagram Story,story_poll,"【搭檔選擇預習】雨夜出現的偵探，你想要哪一位？ A：蓮（26歲・慵懶毒舌男偵探）　B：澪（26歲・慵懶毒舌女偵探）","限動底圖：左右分割剪影卡，左藍右紫，中間一道雨痕分隔，兩個剪影皆模糊不露臉","","投票結果明天公布",none,draft
2026-06-09,Day -2,X/Threads,text_post,"角色預告①：你的搭檔。26歲，自稱「無業遊民兼偵探」，推理犀利、嘴上不饒人，關心都藏在抱怨裡。奇怪的是——明明是初次見面，他/她卻記得你不吃香菜。6/11，雨夜開門。","","","轉發＋留言你的初步推理",none,draft
2026-06-09,Day -2,小紅書,image_post,"角色卡首發｜雨夜偵探（26）：表面慵懶嘲諷，雨夜才營業｜「這次，我不會遲到。」這句話是什麼意思，6/11 之後你就知道了","角色卡設計：立繪剪影＋資訊欄（年齡26／職業偵探／嫌疑度？？？），背景雨絲與檔案紙紋理，一角蓋紅色「未解」印章","","收藏角色卡，連載開始後逐日解鎖",none,draft
2026-06-10,Day -1,TikTok/Reels,short_video,"七封信。七個夜晚。一場雨停之前必須解開的謎。明晚 21:00，第一封信送達。#第七封情書","封面：桌面上七個信封排成扇形，只有第一封被燈照亮","0-3秒：俯拍七封信，雨聲漸強／4-9秒：快剪：信箱、咖啡店吧台、圖書館書車、熄燈的偵探社（每格0.5秒，節奏卡雨滴聲）／10-13秒：女聲氣音旁白「噓——」／14-15秒：字卡「2026.06.11　21:00（JST）開演」","開啟提醒，明晚準時拆信",none,draft
2026-06-10,Day -1,Instagram Story,story_poll,"【倒數1天】開演前最後一問：你最怕哪種展開？ A：寫信的人就在你身邊　B：你早就認識寫信的人，只是忘了","限動底圖：倒數字卡「D-1」，背景是雨水沿玻璃滑落的特寫","","24小時後見",none,draft
